variant	B
scenario	active-parent-ramp-down
run_id	016
router_output_power	ramp
ed_output_power	8dB
active_parent_router_id	P1
active_parent_tx_power	8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -15dB
standby_router_tx_power	8dB
active_parent_tx_mode	in_run_ramp
active_parent_tx_schedule	8dB -> 4dB -> 0dB -> -4dB -> -8dB -> -12dB -> -15dB
active_parent_step_duration_seconds	30
active_parent_upload_overhead_seconds	12
duration_seconds	297
yaml	examples/milestone-8-variant-b-biparental-ed.yaml
started_utc	2026-05-02T10:20:01Z
